term_name,description,field_authority_link,field_unique_id
Antisemitism,,fast%%http://id.worldcat.org/fast/810769,f8cbdd8d-0483-4c0e-a093-2c8bcab252ff
Appalachian dulcimer and guitar music,,fast%%http://id.worldcat.org/fast/811512,d700df6b-b32d-430b-b2ca-73692cb376fb
Applied mathematics,,fast%%http://id.worldcat.org/fast/1400410,4f61b1ad-d2e5-4a30-8e7c-4913804419db
Aquatic organisms,,fast%%http://id.worldcat.org/fast/812043,7ff3ada3-d0ff-4b6f-bd1f-2d1fda650944
Aquatic resources--Research,,fast%%http://id.worldcat.org/fast/812091,67e477a6-e078-46d7-9722-7ecef5480033
Aquatic sports--Safety measures,,fast%%http://id.worldcat.org/fast/812116,d0ff42a6-27e6-404d-bcd6-bf809e8eea63
Arabic language--Study and teaching,,fast%%http://id.worldcat.org/fast/812429,0c46ed21-97be-45ab-bbdd-19132786b73a
Archaeological dating,,fast%%http://id.worldcat.org/fast/812899,0ac285ae-685a-4942-9db3-10a7ef4e39f9
Archaeological museums and collections,,fast%%http://id.worldcat.org/fast/812910,f0683491-8937-464c-af20-ced3542df091
Archaeology--Vocational guidance,,fast%%http://id.worldcat.org/fast/813002,57b99af5-03d6-42b2-adab-51a247168031
Archaeology,,fast%%http://id.worldcat.org/fast/812938,664edf56-6e14-4fbd-9789-b57a804630c5
Architects--Vocational guidance,,fast%%http://id.worldcat.org/fast/813155,da393009-6ad6-41c5-a631-d1b1e2fbb79f
Architecture,,fast%%http://id.worldcat.org/fast/813346,c1371829-4d46-4667-8a98-414cfdbb31ef
Archives,,fast%%http://id.worldcat.org/fast/814030,f2017100-fb9c-4cb9-8fa7-8c36183770db
Art and philosophy,,fast%%http://id.worldcat.org/fast/815419,47e66bad-2c87-42f5-bc05-a4be9c485ffa
Art and science,,fast%%http://id.worldcat.org/fast/815430,2604f99d-ca34-40da-83c4-7719c7ca3336
Art criticism,,fast%%http://id.worldcat.org/fast/815492,6b1f25c8-dcb5-4cca-9505-28ce4476c3a2
Art objects,,fast%%http://id.worldcat.org/fast/815674,96063ffc-f507-4e1f-af8d-a69ef276f816
Art therapy,,fast%%http://id.worldcat.org/fast/815831,cfbf07a2-05aa-43c3-9c86-5fc00467d088
Art--Conservation and restoration,,fast%%http://id.worldcat.org/fast/815208,1eaf769c-c8ea-4dd2-a0ea-8c26d55fc2c8
Artificial arms,,fast%%http://id.worldcat.org/fast/817203,0b58d968-023b-47c1-84a6-e232430b4bbb
Artificial respiration,,fast%%http://id.worldcat.org/fast/817338,569f229d-68e9-4cdd-b5c2-ac7658bab38b
Artificial satellites in navigation,,fast%%http://id.worldcat.org/fast/817420,7c52993b-5104-4b83-a2b2-2aa8d664591d
Artificial satellites,,fast%%http://id.worldcat.org/fast/817346,168c2e44-bf6b-48e7-86af-22efaa79b323
Asian Americans,,fast%%http://id.worldcat.org/fast/818620,0f54e4b2-f418-4d9b-8053-723961b8ca01
Asian flu,,fast%%http://id.worldcat.org/fast/818684,2159c35a-4f8c-4fa8-a55b-f0c7d60eb107
Astrolabes,,fast%%http://id.worldcat.org/fast/819392,67df2034-86fa-4bb3-8683-942294873a47
Astronomical instruments,,fast%%http://id.worldcat.org/fast/819641,d32e80cd-f68e-4f85-8699-72cec096b221
Astronomy,,fast%%http://id.worldcat.org/fast/819673,3bb478c7-dcd1-46a3-838b-9a5ac6a0d200
Astrophysics,,fast%%http://id.worldcat.org/fast/819797,5bf58cd4-203a-493e-b087-8915fd83f5b3
Athletic directors,,fast%%http://id.worldcat.org/fast/820107,2121bca4-be4f-4f40-9ffe-c7c924cb1565
Atmosphere,,fast%%http://id.worldcat.org/fast/820323,f913f70d-7518-4a9f-9143-034300fd8136
Atmospheric pressure--Physiological effect,,fast%%http://id.worldcat.org/fast/820495,2bb51bda-33c1-46fe-b4f7-faf1316bf122
Atom-molecule collisions,,fast%%http://id.worldcat.org/fast/820562,9a5eef95-ab14-4465-8bc6-6f7b9f8ab0a4
Atomic bomb--Testing,,fast%%http://id.worldcat.org/fast/820590,8f37572f-91a5-403c-8901-9724bac55758
Atomic bomb,,fast%%http://id.worldcat.org/fast/820568,ce34ffbb-3a1e-4dfd-9a7e-32c9313afb60
Atoms,,fast%%http://id.worldcat.org/fast/820656,b4632cfd-48ce-41d4-a963-1307cdccbcd8
Attack on Pearl Harbor (Hawaii : 1941),,fast%%http://id.worldcat.org/fast/1056083,f153b313-3c35-4827-bb34-2bc110432984
"Authors, American",,fast%%http://id.worldcat.org/fast/821764,3cbf672d-18d2-43ed-9d87-0cf342b73a22
Authorship--Vocational guidance,,fast%%http://id.worldcat.org/fast/822481,25ce9161-f255-4405-8806-4437ad455c75
Authorship,,fast%%http://id.worldcat.org/fast/822442,0f9e00f6-03b3-49cb-a45b-75f1d65efee7
Automated external defibrillation,,fast%%http://id.worldcat.org/fast/1200874,77bb0267-983b-4e42-9393-21cf2ecc8e55
Automatic control,,fast%%http://id.worldcat.org/fast/822702,7360f18a-13cc-422b-8479-5c2687d9971f
Automobile driving,,fast%%http://id.worldcat.org/fast/822899,b874719c-6032-4564-8f30-6a44f2d41110
Automobile mechanics,,fast%%http://id.worldcat.org/fast/823079,59a8b683-c69d-420d-b2a2-c41a005dd6cd
Automobiles--Design and construction,,fast%%http://id.worldcat.org/fast/823374,96223a5e-20c9-415f-ae6f-fe18bfc2c13d
Automotive drafting,,fast%%http://id.worldcat.org/fast/824133,f84dd72a-8715-40aa-ae3b-f0038ea5479c
B cells,,fast%%http://id.worldcat.org/fast/824789,3a1ff63b-e8cf-457c-9a4d-ac2e7a012fc9
Baby boom generation,,fast%%http://id.worldcat.org/fast/824987,f73ae50a-33e7-4c6b-a1b8-42fadeca8364
Backyard gardens,,fast%%http://id.worldcat.org/fast/825141,78187080-31cd-4c1f-bb50-e1586a073965
Balances (Weighing instruments),,fast%%http://id.worldcat.org/fast/825699,43a9cc54-b594-4bdc-9f53-f9c354e9eaf7
Ballistocardiography,,fast%%http://id.worldcat.org/fast/826117,96b097a4-f5ca-4d48-ae58-ac19a20b80f8
"Balloons, Pilot",,fast%%http://id.worldcat.org/fast/826166,32340b84-5dbd-4550-b5f8-d62a4fcc4a05
Bass clarinet,,fast%%http://id.worldcat.org/fast/828406,09192f2e-ad97-4257-a63c-06d7e0840cff
Bathyscaphe,,fast%%http://id.worldcat.org/fast/828787,f34c7dac-7a07-40b7-9aed-01d2e33976b0
Bell X-1 (Supersonic plane),,fast%%http://id.worldcat.org/fast/1727258,e7e591ec-a334-4e88-9504-de45d979d464
Bernoulli shifts,,fast%%http://id.worldcat.org/fast/830781,1f645463-32a8-4b28-8ec3-cc41433fe692
"Bhopal Union Carbide Plant Disaster (Bhopal, India : 1984)",,fast%%http://id.worldcat.org/fast/1709755,29517639-65b9-4f04-a8b6-a16c9ee19b3f
Big bands,,fast%%http://id.worldcat.org/fast/831585,d5117a9a-586b-4262-9855-63f3767c6192
Biochemistry,,fast%%http://id.worldcat.org/fast/831961,7f78f251-17df-4799-afce-db931d130dcd
Biochemists,,fast%%http://id.worldcat.org/fast/831989,9c20c9be-b01b-4731-a1db-a13486962819
Biography,,fast%%http://id.worldcat.org/fast/832149,200bf77b-bf27-46b1-a193-60a4b30a4d8d
Biological warfare,,fast%%http://id.worldcat.org/fast/832355,b6e5dfe5-5e35-48ae-b587-675aafcd000d
Biomedical engineering,,fast%%http://id.worldcat.org/fast/832568,735db5e1-d5e5-4b21-af5d-d00b82aae318
Biophysics,,fast%%http://id.worldcat.org/fast/832656,3a300b96-bddc-43db-b797-f857b5a3a1a2
Bird watching,,fast%%http://id.worldcat.org/fast/832948,9a68cc52-1551-432d-b4c4-2374222d1ecd
Birds--Behavior,,fast%%http://id.worldcat.org/fast/832976,d0c4f4ba-09f6-4800-8bd0-a0ebbc6c267c
Birds--Migration,,fast%%http://id.worldcat.org/fast/833033,f9bb08ed-4178-4617-8830-e2781f1eecb5
Birds--Psychology,,fast%%http://id.worldcat.org/fast/833054,f35b8f18-329c-41fd-b92f-bbf673f0f259
Birdsongs,,fast%%http://id.worldcat.org/fast/833119,8e247b97-3907-4859-adb0-5f3635bdc584
Birth control,,fast%%http://id.worldcat.org/fast/833148,ea61fdfd-0733-4437-b847-251b447ab9ec
Black widow spider,,fast%%http://id.worldcat.org/fast/833797,b199db38-f8ac-4b6c-ae66-9d0935f705bd
Blended fabrics,,fast%%http://id.worldcat.org/fast/834248,76e3d12f-fc0e-4b0e-ad3f-b782271b71e7
Blood banks,,fast%%http://id.worldcat.org/fast/834652,6c420ae1-52ea-448c-a5da-620cd89a55c2
Blood groups,,fast%%http://id.worldcat.org/fast/834737,c2f32702-e452-4502-a64b-985c44ef0334
Blood plasma,,fast%%http://id.worldcat.org/fast/834775,6237b9c7-3864-4b05-b5e1-e79219c20463
Blood--Transfusion,,fast%%http://id.worldcat.org/fast/834613,fe3d63f9-0d80-4f12-adcd-13a4efe21dec
Blowflies--Control,,fast%%http://id.worldcat.org/fast/834910,a543e5e8-6b2f-48be-815b-deafbe953dca
Blue jay,,fast%%http://id.worldcat.org/fast/834963,7a10bc89-8371-4989-ae5b-b2677d47e862
Boardinghouses,,fast%%http://id.worldcat.org/fast/835110,bc8c5dbc-b13a-4388-b0f9-ff5ddc3c27d8
Boats and boating,,fast%%http://id.worldcat.org/fast/835176,9ceb6279-c766-4048-9991-c96ca8c7b7a2
Boeing 707 (Jet transports),,fast%%http://id.worldcat.org/fast/835509,f2e55a37-50d2-4727-b9ef-f44c1cb2ad84
Bone screws (Orthopedics),,fast%%http://id.worldcat.org/fast/835973,674d963d-7444-4c22-a8bf-2359a2fa4f2e
Bones--Measurement,,fast%%http://id.worldcat.org/fast/836022,e7bd130e-134f-496a-b8df-f4c22e173cf7
Bones,,fast%%http://id.worldcat.org/fast/835991,476ecd0e-eb1d-491c-9f71-8343bb06b794
Bookbinding,,fast%%http://id.worldcat.org/fast/836265,6cba21eb-72b0-45b5-9c84-2153625930e8
Bookstores,,fast%%http://id.worldcat.org/fast/836517,db6b82d0-d24b-4873-aa81-ce11d00aab54
Brain--Magnetic fields,,fast%%http://id.worldcat.org/fast/837639,1496fb7a-1ca5-419a-9bf3-97c60f6f1590
Brain,,fast%%http://id.worldcat.org/fast/837570,96c90264-96c0-464d-853d-314192a43eb0
Breast--Cancer,,fast%%http://id.worldcat.org/fast/838260,95a0e025-650c-4036-87fe-25fc98f19cc7
Bronze age,,fast%%http://id.worldcat.org/fast/839439,ab04e589-bc19-4937-8c30-89539458185d
Brothers and sisters,,fast%%http://id.worldcat.org/fast/839671,2e1577e1-49aa-4bfd-ae88-ff5860ed4409
Buildings,,fast%%http://id.worldcat.org/fast/840962,37989984-828f-4811-846e-c69f19a6bd3a
Business,,fast%%http://id.worldcat.org/fast/842262,32033f4a-ef18-4a08-b2d2-bab8d75a2ff1
Butterflies--Metamorphosis,,fast%%http://id.worldcat.org/fast/843117,39740562-3880-4aea-a06e-d184a520230e
Butterflies,,fast%%http://id.worldcat.org/fast/843103,39d5cc07-81df-404d-aa2d-3a812c64f7ce
Calendars,,fast%%http://id.worldcat.org/fast/844227,92008c65-72af-4061-a225-b954db7cb049
Camera obscuras,,fast%%http://id.worldcat.org/fast/844725,1e38cc55-27d2-4e5f-abde-2076020413eb
Camping,,fast%%http://id.worldcat.org/fast/844926,575cfdd1-b837-42ca-bcdf-1649b4489d4e
Campus police,,fast%%http://id.worldcat.org/fast/845013,a0bb61c3-11b5-48f7-a58b-99fa0506b0c5
Cancer cells,,fast%%http://id.worldcat.org/fast/845563,a37880e1-fed0-4ef8-8a43-6670709e1b2f
Cancer--Diagnosis,,fast%%http://id.worldcat.org/fast/845345,4016677e-917b-4e69-bade-9d5a25138720
Cancer--Research,,fast%%http://id.worldcat.org/fast/845497,3b755ad7-ca47-47e9-a3e6-7f64685fbfed
Canning and preserving,,fast%%http://id.worldcat.org/fast/845860,8dee91b1-abbd-4d70-a798-46db28f5f04e
"Canterbury tales (Chaucer, Geoffrey)",,fast%%http://id.worldcat.org/fast/1356321,f37421fa-a3a4-4e71-8912-8e7883c4b24b
Carbon tetrachloride--Toxicology,,fast%%http://id.worldcat.org/fast/846893,07eb9057-a1f4-4036-b74c-3e3a5fd7069d
Cardiologists,,fast%%http://id.worldcat.org/fast/847118,4b62f39e-fe0b-45d4-85cc-c8c2941e98a7
Cardiology,,fast%%http://id.worldcat.org/fast/847121,7eadf2d0-d331-4f03-9c3f-d0e365e59f67
Caregivers--Family relationships,,fast%%http://id.worldcat.org/fast/847338,c4021046-7a9c-412c-80c7-3fbeec8af877
Cargo ships,,fast%%http://id.worldcat.org/fast/847405,ea1ef9fb-abbc-41ae-9ba4-a62e6c682ce4
Caricatures and cartoons,,fast%%http://id.worldcat.org/fast/847532,3adc3539-f9c4-4cfc-9221-2a9728f35326
Carols,,fast%%http://id.worldcat.org/fast/847722,c13fa5ec-286e-4299-965d-8ecba8652dfd
Cartography,,fast%%http://id.worldcat.org/fast/848025,a6679674-8178-4165-a750-916596539d88
Cartoonists,,fast%%http://id.worldcat.org/fast/848081,4c62f2ef-58e1-4d2a-ae8b-90d6c25a76e6
Cashiers,,fast%%http://id.worldcat.org/fast/848225,19936637-f914-43ed-ab15-c0b37b00cf68
Catalysts,,fast%%http://id.worldcat.org/fast/848875,aea69719-e1ef-4593-99cc-77138e2f6fcf
Caterpillars,,fast%%http://id.worldcat.org/fast/849031,b54facb4-e949-4bdf-b636-e9124bd15961
Catholics,,fast%%http://id.worldcat.org/fast/849297,0588f8a3-d9ed-4bfa-bd98-7c5680be0b81
Cattle--Feeding and feeds--Research,,fast%%http://id.worldcat.org/fast/849560,ea6d2755-ccb3-4336-9548-dd3785c8c673
Cells--Effect of drugs on,,fast%%http://id.worldcat.org/fast/850258,61e8bf7c-9a08-43b2-a72f-bbd24534eb54
Cerebral palsied children,,fast%%http://id.worldcat.org/fast/851315,00cd7922-193a-4f53-8689-bb95fe7ab528
Cerebral palsy--Treatment,,fast%%http://id.worldcat.org/fast/851339,f6b9e45a-e2c5-4e2a-8e77-1a1dce480d03
Cerium,,fast%%http://id.worldcat.org/fast/851427,e8d77469-6ebf-48cf-902c-61d2d570ba16
Cervix uteri--Cancer,,fast%%http://id.worldcat.org/fast/851515,50b5bdc0-c37a-43f4-9aa3-97b7d134bc71
Charge coupled devices,,fast%%http://id.worldcat.org/fast/852340,fdda5d42-d90e-4b77-8ced-1cb6f124f681
"Charitable uses, trusts, and foundations",,fast%%http://id.worldcat.org/fast/852380,b1fd1b21-a095-4fad-a9d3-7d483e1e1bfa
Charities,,fast%%http://id.worldcat.org/fast/852404,60825a9c-55d9-4885-9e6e-6f76b8418373
Charter schools,,fast%%http://id.worldcat.org/fast/852525,0befb9b1-14e0-48c2-aae5-4ddb51131c9a
Cheerleading,,fast%%http://id.worldcat.org/fast/852722,0dbddd1b-3dab-4e47-b9b7-6bb6167e2e60
Chemical apparatus,,fast%%http://id.worldcat.org/fast/852843,fd60e065-2f79-4a38-821a-01b0423f5e5e
Chemistry--Study and teaching (Higher),,fast%%http://id.worldcat.org/fast/853437,67f20b67-cdf9-4c76-b395-7493797f80da
Chemistry--Vocational guidance,,fast%%http://id.worldcat.org/fast/853452,6df47aa2-f48b-4a46-93c6-ba8720202b93
"Chemistry, Forensic",,fast%%http://id.worldcat.org/fast/853484,79c93735-08e3-421e-8721-807d9bf3e4df
"Chemistry, Organic",,fast%%http://id.worldcat.org/fast/853501,c40f06ac-d8c3-4886-9524-e15bb96876b8
Chemistry,,fast%%http://id.worldcat.org/fast/853344,2bd2908e-ed00-4900-bc66-8847d7b2b8c3
Chemists--Vocational guidance,,fast%%http://id.worldcat.org/fast/853581,61bb921e-9a42-4806-8633-b33cb62249f5
Chemists,,fast%%http://id.worldcat.org/fast/853570,8b747ba9-2d12-4425-9873-5f4fe7a1d87d
"Chernobyl Nuclear Accident (Chornobylʹ, Ukraine : 1986)",,fast%%http://id.worldcat.org/fast/853649,3a6cad9b-81c4-44b1-a3d0-63213f255f0b
Child abuse,,fast%%http://id.worldcat.org/fast/854223,a23a1514-c2ff-4793-af6b-48309181fa3f
Child development,,fast%%http://id.worldcat.org/fast/854393,58b1a05b-9453-48ac-b25c-2cb8808cc8c7
Child psychology,,fast%%http://id.worldcat.org/fast/854540,bc0de9ed-aa84-44e8-9ade-2a442f794c60
Children of immigrants--Education,,fast%%http://id.worldcat.org/fast/855369,224a0e6a-1811-45de-be4b-d9434eaad05a
Children of immigrants,,fast%%http://id.worldcat.org/fast/855365,26827d4a-5d50-460f-94f5-a3057991bfbd
Children--Intelligence testing,,fast%%http://id.worldcat.org/fast/855022,77474dd4-e289-42a5-b0e7-bb29fdec40bf
Children--Nutrition,,fast%%http://id.worldcat.org/fast/855080,e98e8696-eca3-4358-bed2-93275ed138eb
Chinese Americans,,fast%%http://id.worldcat.org/fast/857249,5653ccea-7eba-4ce4-b070-0db1f6769d24
Chinese New Year,,fast%%http://id.worldcat.org/fast/857290,7950f566-e0ad-4278-a5e8-3f9f854a0dff
Chlorophyll--Analysis,,fast%%http://id.worldcat.org/fast/858217,116cb908-5af8-4ec1-898d-89a8ca860b02
Chloroplasts,,fast%%http://id.worldcat.org/fast/858233,6e47b0b5-1693-4a63-94d9-96f584690581
Choirs (Music),,fast%%http://id.worldcat.org/fast/858366,bfd1e6f0-fb34-4839-aca6-d5a2b58d7c59
Christianity,,fast%%http://id.worldcat.org/fast/859599,ea33cae7-65ee-46e0-842e-cf4019f6fb39
Christmas cards,,fast%%http://id.worldcat.org/fast/859805,6e0db4e9-5b1f-4bd8-b8f0-1a5c40814000
Christmas music,,fast%%http://id.worldcat.org/fast/859831,1e0f2b8e-5c05-49fa-bb1c-4074769745b0
Christmas,,fast%%http://id.worldcat.org/fast/859787,a2e40b63-1fac-459c-b0ab-3cc06a5f0daf
Chromium-cobalt-nickel-molybdenum alloys,,fast%%http://id.worldcat.org/fast/860013,d4d567c3-2a11-46fc-88a6-68682b9fddb8
Chronic diseases,,fast%%http://id.worldcat.org/fast/860072,1887e609-ba45-41a6-ae20-3e693370a096
Chronophotography,,fast%%http://id.worldcat.org/fast/860228,a99594b9-88e5-4f05-9ffc-8857986cbd6e
Citizenship,,fast%%http://id.worldcat.org/fast/861909,52f375e6-03a8-411b-a1db-34428367369e
Civil engineering,,fast%%http://id.worldcat.org/fast/862488,90d21703-7696-469e-9bac-6256e43d22a8
Civil rights workers,,fast%%http://id.worldcat.org/fast/862721,fcad1ebc-7cc9-4655-b123-34d31b924fb1
Civil rights,,fast%%http://id.worldcat.org/fast/862627,afe7d4d1-7782-48fa-9305-a4916c0aef24
Civil service,,fast%%http://id.worldcat.org/fast/862730,8d405d58-e2bd-4ad2-904a-d7e96bba5abe
"Civilization, Ancient",,fast%%http://id.worldcat.org/fast/862946,44a6c444-e5d1-4e42-94e9-5fd91e4b95e7
"Civilization, Medieval",,fast%%http://id.worldcat.org/fast/863049,987f336a-0565-476f-8ae8-dd0d8c534848
Class reunions,,fast%%http://id.worldcat.org/fast/863434,83fbd360-0ed4-4e36-9ae8-dcaad413f6f5
Classical antiquities,,fast%%http://id.worldcat.org/fast/863445,fb2a741b-0d7e-4d90-bb92-0f98f3b393ed
Classical philology,,fast%%http://id.worldcat.org/fast/863532,693f891f-24f6-4232-b628-080ee34a23f3
Classicism in music,,fast%%http://id.worldcat.org/fast/863566,ba9d2569-da99-4204-84e5-c3cc4ca3d303
Coal--Combustion,,fast%%http://id.worldcat.org/fast/865097,9fb96d53-7b88-4bf0-a8da-42e90825e5f9
Coaxial cables,,fast%%http://id.worldcat.org/fast/865888,b3e5807e-203d-4bb7-8521-ee8bc00834b5
Coeducation,,fast%%http://id.worldcat.org/fast/866247,d9bbf0a7-b197-4ad6-b699-0e801f8fc080
Coelacanth,,fast%%http://id.worldcat.org/fast/866252,a1f39bb9-0e2d-41ed-b215-95b22efb754e
Cognitive science,,fast%%http://id.worldcat.org/fast/866547,3c931785-ffe6-4b4a-a15f-5fb04d8987f4
Cold (Disease),,fast%%http://id.worldcat.org/fast/866963,2cc6e2a6-f799-4ece-bfbb-0cbc49bfecc9
Cold War (1945-1989),,fast%%http://id.worldcat.org/fast/1754978,c5551fed-1ee0-4dbc-9d32-01c269ef5797
Collectors and collecting,,fast%%http://id.worldcat.org/fast/867604,81e18dd2-2725-4522-b2a9-764741e49ebe
College applications,,fast%%http://id.worldcat.org/fast/867684,cc09628b-7a4d-418a-9f17-f115bf755836
College athletes,,fast%%http://id.worldcat.org/fast/867688,336e627a-42ae-404f-ace3-c61299296e4d
College branch campuses,,fast%%http://id.worldcat.org/fast/1921908,2021495c-583a-481d-bc99-7dd84c979b13
College buildings,,fast%%http://id.worldcat.org/fast/867723,6475da88-94f5-4831-be0a-4661668794ee
College campuses,,fast%%http://id.worldcat.org/fast/1740107,cc6b6a87-d8d7-4d2c-b902-db519ec077e7
College chaplains,,fast%%http://id.worldcat.org/fast/867742,3c7d3005-ea5b-4e00-b3e5-fa70c58bb159
College fraternity members,,fast%%http://id.worldcat.org/fast/1930610,467d89fd-8bf5-4ba3-bafe-9f683a126077
College graduates--Employment,,fast%%http://id.worldcat.org/fast/867826,06707c2b-d95b-4c2b-8dc3-1ef9a6886725
College graduates,,fast%%http://id.worldcat.org/fast/867821,0758e169-3cf6-43ba-ba7a-683a087fba78
College personnel management,,fast%%http://id.worldcat.org/fast/867869,216c26f9-1ae6-4cbc-aa56-fa79106228ed
